,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id
59,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,30.0,4.0,6.0,55.0,505.0,Ontology of Snips NLU.,,,12.0,11,False,2,,2019-09-06 13:58:41,0.67.2,,,35.0,,
60,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,2018-01-27 21:50:14,2021-06-03 19:39:52,2021-06-03 14:27:09,8.0,5.0,8.0,43.0,155.0,Rust language bindings for Faiss.,,,5.0,11,False,2,,2020-09-21 21:26:10,0.9.0,,,8.0,['binding'],
61,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,2019-03-19 18:18:31,2021-04-29 16:07:12,2021-02-22 06:07:48,4.0,6.0,34.0,36.0,219.0,finalfusion embeddings in Rust.,,,4.0,11,False,2,,2020-08-15 06:46:38,0.14.0,,,8.0,,
62,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2021-06-07 04:51:00,2020-07-24 16:19:15,1.0,3.0,6.0,32.0,152.0,OpenAI Gym bindings for Rust.,,,3.0,11,False,2,,2019-10-11 20:43:19,1.0.0,,,1.0,['binding'],
63,black-jack,milesgranger/black-jack,ml-frameworks,https://github.com/milesgranger/black-jack,https://github.com/milesgranger/black-jack,GPL-3.0,2018-08-18 14:31:48,2021-04-29 19:40:12,2021-04-29 19:39:04,5.0,8.0,42.0,26.0,217.0,DataFrame / Series data processing in Rust.,,,2.0,11,False,2,,2019-04-28 11:10:27,0.1.0,,,2.0,,
64,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/pyrus-cramjam,https://github.com/milesgranger/pyrus-cramjam,MIT,2020-03-08 07:46:33,2021-05-31 08:22:02,2021-05-31 07:48:20,2.0,4.0,16.0,23.0,46.0,Thin Python wrapper to de/compression algorithms in Rust - lightweight & no dependencies.,,,2.0,11,False,2,,2021-05-31 08:22:02,2.3.2,,,20.0,,
65,datafrog,rust-lang/datafrog,data-loading,https://github.com/rust-lang/datafrog,https://github.com/rust-lang/datafrog,,2018-05-16 13:37:32,2021-05-04 21:24:45,2021-05-04 21:24:45,30.0,3.0,2.0,407.0,103.0,A lightweight Datalog engine in Rust.,,,11.0,10,False,3,,,,,,,,
66,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,30.0,1.0,2.0,300.0,41.0,A neural network crate.,,,2.0,10,False,3,,,,,,,,
67,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,20.0,12.0,26.0,276.0,119.0,"A Rust DataFrame implementation, built on Apache Arrow.",,,4.0,10,True,3,,,,,,,,
68,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2021-05-17 02:10:15,2021-05-17 02:08:00,13.0,3.0,13.0,208.0,,Rust library for regular expressions using fancy features like look-around and backreferences.,,,13.0,10,True,2,,,,,,,,
69,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,192.0,78.0,Neural networks in Rust.,,,2.0,10,False,3,,,,,,,,
70,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,14.0,,1.0,130.0,164.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,,,10,True,3,,2019-09-04 00:34:56,1.0,,,1.0,,
71,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2021-03-15 07:00:22,2021-03-15 07:00:17,10.0,24.0,2.0,127.0,562.0,"Rust CV mono-repo. Contains pure-Rust dependencies which attempt to encapsulate the capability of OpenCV, OpenMVG, and..",,,4.0,10,True,3,-1.0,,,,,,,
