,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
84,tch-serde,jerry73204/tch-serde,data-loading,https://github.com/jerry73204/tch-serde,https://github.com/jerry73204/tch-serde,MIT,2020-07-21 21:04:15,2021-03-26 13:34:06,2021-03-26 13:33:47,3.0,,,3.0,24.0,,,,,,Serialize/Deserialize tch-rs types with serde.,3.0,9,False,3,,,,,
85,kdtree-rs,mrhooray/kdtree-rs,ml-frameworks,https://github.com/mrhooray/kdtree-rs,https://github.com/mrhooray/kdtree-rs,,2015-07-29 05:20:17,2020-10-20 07:27:10,2020-10-20 07:27:08,22.0,1.0,13.0,96.0,84.0,,,,,,K-dimensional tree in Rust for fast geospatial indexing and lookup.,13.0,8,False,3,,,,,True
86,hal,jramapuram/hal,ml-frameworks,https://github.com/jramapuram/hal,https://github.com/jramapuram/hal,MIT,2015-07-22 20:11:09,2016-10-22 00:27:46,2016-10-22 00:24:58,9.0,5.0,,75.0,52.0,,,,,,Rust based Cross-GPU Machine Learning.,2.0,8,False,3,,,,,
87,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,,49.0,38.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,2.0,8,False,3,,,,,
88,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,,,20.0,63.0,,,,,,Rust interface to word2vec.,5.0,8,False,3,,,,,
89,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,https://github.com/avinashshenoy97/RusticSOM,https://github.com/avinashshenoy97/RusticSOM,MIT,2018-03-04 07:44:42,2020-10-14 21:10:03,2020-10-07 18:54:35,5.0,,,20.0,48.0,,,,,,Rust library for Self Organising Maps (SOM).,5.0,8,False,3,,,,,
90,ngt-rs,lerouxrgd/ngt-rs,ml-frameworks,https://github.com/lerouxrgd/ngt-rs,https://github.com/lerouxrgd/ngt-rs,Apache-2.0,2020-04-26 21:45:05,2021-03-30 22:02:45,2021-03-04 19:10:30,1.0,,,8.0,26.0,,,,,,Rust wrappers for NGT approximate nearest neighbor search.,,8,False,3,,,['binding'],,True
91,rust-stop-words,cmccomb/rust-stop-words,nlp,https://github.com/cmccomb/rust-stop-words,https://github.com/cmccomb/rust-stop-words,MIT,2020-08-22 03:59:58,2021-04-05 19:44:07,2021-04-05 19:44:07,,,,3.0,57.0,,,,,,Common stop words in a variety of languages.,,8,False,3,,,,,True
92,awabi,nakagami/awabi,nlp,https://github.com/nakagami/awabi,https://github.com/nakagami/awabi,MIT,2020-03-12 23:10:27,2021-02-06 02:50:03,2021-02-06 02:49:49,,,,3.0,48.0,,,,,,A morphological analyzer using mecab dictionary.,,8,False,3,,,,,True
93,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,2019-06-17 23:43:49,2021-04-09 03:12:18,2021-04-09 03:12:16,4.0,,5.0,111.0,,,,,,,Machine Learning Library for Rust.,3.0,7,False,3,,,,,
