,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,trending,labels
98,gazetteer-entity-parser,snipsco/gazetteer-entity-parser,nlp,https://github.com/snipsco/gazetteer-entity-parser,https://github.com/snipsco/gazetteer-entity-parser,,2018-06-12 07:13:37,2019-12-06 14:10:32,2019-12-06 14:10:28,17.0,1.0,1.0,14.0,231.0,Rust library for parsing and resolving entity values based on a gazetteer.,,,8.0,9,False,3,,2019-08-27 13:51:07,0.8.0,,,8.0,,
99,rustdef,emakryo/rustdef,ml-frameworks,https://github.com/emakryo/rustdef,https://github.com/emakryo/rustdef,MIT,2020-01-26 04:08:22,2021-09-06 02:01:27,2021-08-14 08:31:29,,2.0,3.0,14.0,54.0,Jupyter extension for rust.,,,2.0,9,False,3,,2021-01-03 12:09:22,0.2.0,,,4.0,,
100,snips-nlu-parsers,snipsco/snips-nlu-parsers,nlp,https://github.com/snipsco/snips-nlu-parsers,https://github.com/snipsco/snips-nlu-parsers,,2019-01-22 12:45:41,2020-01-24 10:14:32,2020-01-24 10:13:48,32.0,2.0,2.0,13.0,102.0,Rust crate for entity parsing.,,,5.0,9,False,3,,2020-01-24 10:14:32,0.4.3,196.0,6.0,13.0,,
101,rust-cv-convert,jerry73204/rust-cv-convert,image,https://github.com/jerry73204/rust-cv-convert,https://github.com/jerry73204/rust-cv-convert,MIT,2021-01-12 12:43:12,2021-08-27 14:23:42,2021-08-27 14:14:45,3.0,1.0,,11.0,62.0,Type conversion among popular Rust computer vision libraries.,,,4.0,9,False,3,,,,,,,,
102,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,,2020-04-04 17:46:04,2021-09-12 02:11:31,2021-09-03 18:51:14,14.0,26.0,4.0,179.0,,"Rust CV mono-repo. Contains pure-Rust dependencies which attempt to encapsulate the capability of OpenCV, OpenMVG, and..",,,7.0,8,False,3,,,,,,,,
103,vtext,rth/vtext,nlp,https://github.com/rth/vtext,https://github.com/rth/vtext,Apache-2.0,2018-11-05 09:02:15,2021-06-15 20:48:37,2020-06-18 21:00:31,10.0,11.0,7.0,116.0,,Simple NLP in Rust with Python bindings.,,,3.0,8,False,3,,,,,,,,
104,kdtree-rs,mrhooray/kdtree-rs,ml-frameworks,https://github.com/mrhooray/kdtree-rs,https://github.com/mrhooray/kdtree-rs,,2015-07-29 05:20:17,2021-05-13 02:26:34,2021-05-13 02:26:34,24.0,1.0,13.0,108.0,85.0,K-dimensional tree in Rust for fast geospatial indexing and lookup.,,,14.0,8,False,3,,,,,,,,
105,hal,jramapuram/hal,ml-frameworks,https://github.com/jramapuram/hal,https://github.com/jramapuram/hal,MIT,2015-07-22 20:11:09,2016-10-22 00:27:46,2016-10-22 00:24:58,9.0,5.0,,79.0,52.0,Rust based Cross-GPU Machine Learning.,,,2.0,8,False,3,,,,,,,,
106,hnsw,rust-cv/hnsw,ml-frameworks,https://github.com/rust-cv/hnsw,https://github.com/rust-cv/hnsw,MIT,2019-07-21 03:52:31,2021-07-19 03:08:21,2021-07-19 03:08:17,,12.0,9.0,69.0,147.0,HNSW ANN from the paper Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small..,,,2.0,8,False,3,,,,,,,,
107,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,,52.0,38.0,Fast hierarchical agglomerative clustering in Rust.,,,2.0,8,False,3,,,,,,,,
108,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/tantivy-search/levenshtein-automata,https://github.com/tantivy-search/levenshtein-automata,MIT,2017-11-16 00:26:08,2021-06-01 09:28:56,2021-05-18 12:20:26,7.0,1.0,4.0,37.0,25.0,,,,2.0,8,False,3,,2020-03-30 00:38:52,0.2.0,,,1.0,,
109,fasttext-rs,messense/fasttext-rs,nlp,https://github.com/messense/fasttext-rs,https://github.com/messense/fasttext-rs,,2018-01-18 04:08:07,2021-08-14 10:12:43,2021-08-14 10:12:37,6.0,,2.0,31.0,101.0,fastText Rust binding.,,,4.0,8,False,3,,,,,,,,['binding']
110,sticker,stickeritis/sticker,nlp,https://github.com/stickeritis/sticker,https://github.com/stickeritis/sticker,,2019-02-15 09:35:54,2021-03-19 10:08:03,2021-03-19 10:08:00,2.0,15.0,37.0,26.0,206.0,Succeeded by SyntaxDot: https://github.com/tensordot/syntaxdot.,,,4.0,8,False,3,,2020-06-10 12:27:31,0.11.1,81.0,2.0,17.0,,
111,chr,pemistahl/chr,nlp,https://github.com/pemistahl/chr,https://github.com/pemistahl/chr,Apache-2.0,2020-06-22 07:50:18,2021-01-14 10:14:41,2021-01-05 20:35:25,1.0,1.0,,24.0,35.0,A command-line tool that gives information about Unicode characters.,,,,8,False,3,,2021-01-05 20:46:19,1.0.0,13.0,1.0,1.0,,
112,syntaxdot,tensordot/syntaxdot,nlp,https://github.com/tensordot/syntaxdot,https://github.com/tensordot/syntaxdot,,2020-10-07 17:49:05,2021-09-12 13:56:50,2021-09-12 13:56:50,,7.0,10.0,23.0,,"Neural syntax annotator, supporting sequence labeling, lemmatization, and dependency parsing.",,,3.0,8,False,3,,2021-08-16 07:03:01,0.4.1,12.0,1.0,11.0,,
113,bhtsne,frjnn/bhtsne,ml-frameworks,https://github.com/frjnn/bhtsne,https://github.com/frjnn/bhtsne,MIT,2020-08-21 15:39:47,2021-07-24 18:10:42,2021-07-24 18:10:26,1.0,2.0,2.0,23.0,19.0,Barnes-Hut t-SNE implementation written in Rust.,,,,8,False,3,,,,,,,,
114,rust-dl-webserver,epwalsh/rust-dl-webserver,ml-frameworks,https://github.com/epwalsh/rust-dl-webserver,https://github.com/epwalsh/rust-dl-webserver,,2020-03-25 21:29:16,2021-09-01 18:03:37,2021-08-05 16:27:17,5.0,,,21.0,66.0,Example of serving deep learning models in Rust with batched prediction.,,,3.0,8,False,3,,,,,,,,
115,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,,,20.0,63.0,Rust interface to word2vec.,,,5.0,8,False,3,,,,,,,,
