,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition,labels
124,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2026-01-22 20:30:14,2023-10-01 08:36:57,34.0,5.0,7.0,344.0,,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",755.0,755.0,8.0,14,False,2.0,,,,
125,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2021-11-16 10:40:23,2020-06-18 11:31:52,15.0,21.0,17.0,206.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",29.0,29.0,4.0,14,False,2.0,,,,
126,rust-stop-words,cmccomb/rust-stop-words,nlp,https://github.com/cmccomb/rust-stop-words,https://github.com/cmccomb/rust-stop-words,MIT,2020-08-22 03:59:58,2026-02-21 15:29:05,2026-02-21 15:15:24,5.0,,3.0,26.0,,2026-02-21 15:28:52,0.10.0,,,12.0,Common stop words in a variety of languages.,502.0,502.0,2.0,14,False,2.0,,,,
127,chunkr,lumina-ai-inc/chunkr,nlp,https://github.com/lumina-ai-inc/chunkr,https://github.com/lumina-ai-inc/chunkr,AGPL-3.0,2024-08-24 19:32:47,2026-04-09 22:53:39,2025-09-24 21:36:29,244.0,11.0,93.0,3889.0,,2025-07-31 20:29:25,2.2.1,,,100.0,Vision infrastructure to turn complex documents into RAG/LLM-ready data.,,,19.0,13,True,2.0,,,True,
128,extractous,yobix-ai/extractous,data-loading,https://github.com/yobix-ai/extractous,https://github.com/yobix-ai/extractous,Apache-2.0,2024-06-04 08:24:18,2024-12-21 10:13:30,2024-12-21 10:13:30,94.0,24.0,25.0,1759.0,,,,,,,Fast and efficient unstructured data extraction. Written in Rust with bindings for many languages.,30.0,30.0,8.0,13,False,3.0,,,,
129,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2026-06-02 00:43:58,2026-06-02 00:43:57,39.0,7.0,33.0,503.0,389.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,,,16.0,13,True,3.0,,,,
130,hnsw,rust-cv/hnsw,ml-frameworks,https://github.com/rust-cv/hnsw,https://github.com/rust-cv/hnsw,MIT,2019-07-21 03:52:31,2025-08-08 18:26:45,2025-08-04 22:12:39,20.0,16.0,11.0,265.0,,,,,,,HNSW ANN from the paper Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small..,198.0,198.0,8.0,13,True,3.0,,,,
131,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2023-08-18 07:34:39,2023-08-18 07:32:27,19.0,,5.0,123.0,203.0,2023-08-18 07:34:40,0.2.0,,,1.0,Awesome deep learning crate.,27.0,27.0,3.0,13,False,3.0,,,,
132,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2025-04-09 23:22:34,2025-04-09 23:22:30,10.0,3.0,2.0,106.0,52.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,245.0,245.0,5.0,13,False,3.0,,,,
133,bhtsne,frjnn/bhtsne,ml-frameworks,https://github.com/frjnn/bhtsne,https://github.com/frjnn/bhtsne,MIT,2020-08-21 15:39:47,2026-06-30 17:22:45,2026-06-30 16:44:35,8.0,,8.0,94.0,89.0,,,,,,Parallel Barnes-Hut t-SNE implementation written in Rust.,120.0,120.0,4.0,13,False,3.0,,,,
134,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2022-11-16 19:03:18,2022-11-16 19:03:15,6.0,5.0,6.0,70.0,187.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,15.0,15.0,4.0,13,False,3.0,,,,['binding']
135,rust-cv-convert,jerry73204/rust-cv-convert,image,https://github.com/jerry73204/rust-cv-convert,https://github.com/jerry73204/rust-cv-convert,MIT,2021-01-12 12:43:12,2025-05-20 07:10:40,2025-05-20 07:10:17,26.0,8.0,7.0,56.0,191.0,,,,,,Type conversion among popular Rust computer vision libraries.,33.0,33.0,7.0,13,False,3.0,,,,
136,tokengrams,EleutherAI/tokengrams,nlp,https://github.com/EleutherAI/tokengrams,https://github.com/EleutherAI/tokengrams,MIT,2023-12-21 15:22:19,2026-06-15 00:17:32,2026-06-15 00:17:32,3.0,1.0,2.0,27.0,145.0,2024-09-04 23:52:04,0.3.3,,,3.0,Efficiently computing & storing token n-grams from large corpora.,3.0,3.0,3.0,13,False,2.0,,,,
