,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
100,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/quickwit-inc/levenshtein-automata,https://github.com/quickwit-inc/levenshtein-automata,quickwit-inc/levenshtein-automata,MIT,2017-11-16 00:26:08,2021-10-19 02:30:27,2021-10-19 02:30:27,8.0,1.0,4.0,40.0,27.0,2020-03-30 00:38:52,0.2.0,,,1.0,,4.0,10,False,2,,,,,
101,visionmagic,visioncortex/visionmagic,image,https://github.com/visioncortex/visionmagic,https://github.com/visioncortex/visionmagic,,,2020-12-16 15:07:32,2021-07-24 09:05:13,2021-07-24 09:05:06,4.0,,,37.0,39.0,2021-07-23 10:16:58,0.2.0,,,4.0,Collection of vision & graphics algorithms.,3.0,10,False,3,,,,,
102,black-jack,milesgranger/black-jack,ml-frameworks,https://github.com/milesgranger/black-jack,https://github.com/milesgranger/black-jack,,GPL-3.0,2018-08-18 14:31:48,2021-07-22 04:16:28,2021-04-29 19:39:04,5.0,8.0,42.0,28.0,217.0,2019-04-28 11:10:27,0.1.0,,,2.0,DataFrame / Series data processing in Rust.,2.0,10,False,3,,,,,
103,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,https://github.com/jerry73204/rust-tfrecord,https://github.com/jerry73204/rust-tfrecord,,MIT,2019-11-06 17:35:02,2021-11-14 06:19:01,2021-11-14 06:17:57,6.0,,2.0,18.0,178.0,,,,,,A Rust crate that reads and writes tfrecord files.,3.0,10,False,3,,,,,
104,rustdef,emakryo/rustdef,ml-frameworks,https://github.com/emakryo/rustdef,https://github.com/emakryo/rustdef,,MIT,2020-01-26 04:08:22,2021-11-29 14:02:55,2021-11-29 14:02:51,,2.0,3.0,16.0,64.0,2021-11-25 17:39:23,0.3.1,1.0,0.0,8.0,Jupyter extension for Rust.,2.0,10,False,3,,,,,
105,datafrog,rust-lang/datafrog,data-loading,https://github.com/rust-lang/datafrog,https://github.com/rust-lang/datafrog,,,2018-05-16 13:37:32,2021-09-13 18:01:18,2021-09-13 18:00:45,32.0,4.0,5.0,468.0,130.0,,,,,,A lightweight Datalog engine in Rust.,13.0,9,False,3,,,,,
106,instant-distance,InstantDomain/instant-distance,ml-frameworks,https://github.com/InstantDomain/instant-distance,https://github.com/InstantDomain/instant-distance,,Apache-2.0,2020-12-14 15:15:27,2021-11-10 08:44:55,2021-11-10 08:44:50,6.0,,2.0,115.0,,,,,,,"Fast approximate nearest neighbor searching in Rust, based on HNSW index.",6.0,9,False,3,,,,,
107,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,,MIT,2017-02-07 13:00:30,2021-05-14 07:08:54,2021-05-13 07:18:43,11.0,,3.0,70.0,51.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,5.0,9,False,3,,,,,
108,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,6.0,1.0,1.0,58.0,194.0,,,,,,Awesome deep learning crate.,2.0,9,False,3,,,,,
109,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,,2015-06-23 13:59:00,2018-01-31 13:53:22,2018-01-31 13:53:17,6.0,2.0,3.0,47.0,332.0,2015-10-07 20:05:27,0.0.5,,,4.0,Machine learning in Rust.,2.0,9,False,3,,,,,
110,dpar,danieldk/dpar,nlp,https://github.com/danieldk/dpar,https://github.com/danieldk/dpar,,Apache-2.0,2015-03-18 10:17:41,2020-09-14 12:16:26,2020-09-14 12:16:07,3.0,5.0,6.0,42.0,58.0,,,,,,Neural network transition-based dependency parser (in Rust).,3.0,9,False,3,,,,,
111,bhtsne,frjnn/bhtsne,ml-frameworks,https://github.com/frjnn/bhtsne,https://github.com/frjnn/bhtsne,,MIT,2020-08-21 15:39:47,2021-12-10 10:18:27,2021-12-10 10:18:25,5.0,,6.0,38.0,31.0,,,,,,Parallel Barnes-Hut t-SNE implementation written in Rust.,2.0,9,False,3,,,,,
112,rurel,milanboers/rurel,ml-frameworks,https://github.com/milanboers/rurel,https://github.com/milanboers/rurel,,MPL-2.0,2017-03-05 09:40:12,2021-03-27 09:39:28,2021-03-27 09:34:51,6.0,1.0,1.0,36.0,33.0,,,,,,"Flexible, reusable reinforcement learning (Q learning) implementation in Rust.",3.0,9,False,3,,,,,
113,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,https://github.com/mpizenberg/visual-odometry-rs,https://github.com/mpizenberg/visual-odometry-rs,,MPL-2.0,2018-03-26 08:10:34,2020-01-17 19:04:01,2019-03-25 14:16:01,1.0,6.0,1.0,31.0,299.0,,,,,,Visual Odometry in Rust (vors).,,9,False,3,,,,,
114,rust-sbert,cpcdoy/rust-sbert,nlp,https://github.com/cpcdoy/rust-sbert,https://github.com/cpcdoy/rust-sbert,,Apache-2.0,2020-04-19 14:27:46,2021-06-30 10:21:56,2020-11-23 16:05:05,4.0,,1.0,28.0,62.0,,,,,,Rust port of sentence-transformers (https://github.com/UKPLab/sentence-transformers).,3.0,9,False,3,,,,,
115,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,https://github.com/avinashshenoy97/RusticSOM,https://github.com/avinashshenoy97/RusticSOM,,MIT,2018-03-04 07:44:42,2020-10-14 21:10:03,2020-10-07 18:54:35,5.0,,,22.0,48.0,,,,,,Rust library for Self Organising Maps (SOM).,5.0,9,False,3,,,,,
116,gazetteer-entity-parser,snipsco/gazetteer-entity-parser,nlp,https://github.com/snipsco/gazetteer-entity-parser,https://github.com/snipsco/gazetteer-entity-parser,,,2018-06-12 07:13:37,2019-12-06 14:10:32,2019-12-06 14:10:28,14.0,1.0,1.0,14.0,231.0,2019-08-27 13:51:07,0.8.0,,,8.0,Rust library for parsing and resolving entity values based on a gazetteer.,8.0,9,False,3,,,,,
117,snips-nlu-parsers,snipsco/snips-nlu-parsers,nlp,https://github.com/snipsco/snips-nlu-parsers,https://github.com/snipsco/snips-nlu-parsers,,,2019-01-22 12:45:41,2020-01-24 10:14:32,2020-01-24 10:13:48,29.0,2.0,2.0,13.0,102.0,2020-01-24 10:14:32,0.4.3,196.0,5.0,13.0,Rust crate for entity parsing.,5.0,9,False,3,,,,,
118,rust-cv-convert,jerry73204/rust-cv-convert,image,https://github.com/jerry73204/rust-cv-convert,https://github.com/jerry73204/rust-cv-convert,,MIT,2021-01-12 12:43:12,2021-12-08 17:33:18,2021-12-08 17:32:20,3.0,1.0,,12.0,78.0,,,,,,Type conversion among popular Rust computer vision libraries.,5.0,9,False,3,,,,,
