,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
10,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-03-27 12:28:53,2021-03-27 12:28:50,28.0,3.0,32.0,412.0,471.0,2019-03-03 16:17:34,0.7.0,,,3.0,Natural language detection library for Rust. Try demo online: https://www.greyblake.com/whatlang/.,14.0,15,True,1.0,,,
11,xaynet,xaynetwork/xaynet/,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-03-29 09:55:27,2021-03-23 08:48:11,18.0,3.0,27.0,114.0,2463.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,,15,True,1.0,,,
12,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2021-03-26 11:29:57,2021-03-26 11:29:54,42.0,9.0,35.0,1345.0,,2021-03-26 11:26:35,0.8.2,1879.0,98.0,14.0,Example-based texture synthesis written in Rust.,18.0,14,False,1.0,,,
13,linfa,rust-ml/linfa/,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-03-28 06:30:03,2021-03-22 18:57:08,56.0,15.0,23.0,826.0,196.0,2021-03-11 09:31:50,0.3.1,,,4.0,A Rust machine learning framework.,,14,False,2.0,,,
14,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-03-28 21:05:13,2021-03-28 20:19:57,62.0,8.0,166.0,609.0,866.0,,,,,,Rust bindings for OpenCV 3 & 4.,25.0,14,True,1.0,,,
15,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,55.0,4.0,15.0,316.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,21.0,14,False,1.0,,,
16,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-03-28 16:19:05,2021-03-26 08:36:43,26.0,13.0,19.0,312.0,,2021-02-20 21:33:21,0.4.6,1434.0,478.0,18.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",6.0,14,False,1.0,,,
17,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2021-03-27 21:12:41,2021-03-27 21:12:41,21.0,5.0,14.0,269.0,168.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,6.0,14,False,1.0,,,1.0
18,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,142.0,33.0,66.0,1156.0,532.0,,,,,,Machine Learning library for Rust.,20.0,13,False,2.0,,,
19,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-03-29 12:01:06,2021-03-27 10:04:30,56.0,26.0,39.0,743.0,1304.0,,,,,,The Hacker's Machine Learning Engine.,42.0,13,False,2.0,,,
20,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-03-28 07:23:28,2021-03-26 16:37:58,38.0,6.0,33.0,522.0,720.0,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",9.0,13,True,2.0,,,
21,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2020-06-21 02:01:59,2020-06-21 02:01:58,43.0,8.0,4.0,481.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,9.0,13,True,2.0,,,
